SMILES,HOMO,LUMO,RedoxPotential,Inchi-Key
c1ccc2c(c1)c1c3ccsc3c3c4c1c1c2c2ccsc2c2c1c1c4c(c4c3scc4)ccc1c1c2scc1,-5.790313806,-2.034596378,,WTR_d
Fc1cc(F)c2c(c1)c1c3cc(F)cc(c3c3c4c1c1c2ccc2c1c1c4c(c4c3cccc4)c3c(c1c1c2c(F)cc(c1)F)cc(cc3F)F)F,-6.07358448,-2.524401578,,UIK_d
c1ccc2c(c1)c1c3c4c2c2c(c5c4c4c6c3c(c3c1c1ccccc1s3)c1sc3c(c1c6c1c(c4c4c5sc5c4cccc5)cccc1)cccc3)sc1c2cccc1,-5.5919427,-2.27759418,,HHJ_h
Fc1c(F)c(F)c2c(c1F)c1c3c4c2c2c(c5c4c4c6c3c(c3c1c1ccccc1o3)c1oc3c(c1c6c1c(c4c4c5oc5c4cccc5)c(F)c(c(c1F)F)F)cccc3)oc1c2cccc1,-5.735074664,-2.4354203,,LUN
c1ccc2c(c1)oc1c2c2ccc3c4c2c2c1c1oc5c(c1c1c2c2c4c(c4c3c3ccccc3o4)c3c(c2cc1)c1c(o3)cccc1)cccc5,-5.874124918,-2.375010992,1.02,QOA_d
Fc1c(F)c(F)c2c(c1F)c1c3c4c2c2ncsc2c2c4c4c5c3c(c3c1ncs3)c1scnc1c5c1c(c4c3c2scn3)c(F)c(c(c1F)F)F,-6.035216406,-2.55651103,,LVD
c1ccc2c(c1)c1c3c4c2c2c(c5c4c4c6c3c(c3c1c1ccccc1o3)c1oc3c(c1c6c1c(c4c4c5oc5c4cccc5)cccc1)cccc3)oc1c2cccc1,-5.591670586,-2.20548397,,RWU_h
c1cnc2c(c1)c1c3c4c2ccc2c4c4c5c3c(c3c1cccn3)ccc5c1c(c4c3c2nccc3)cccn1,-5.96882059,-2.398140682,1.1,XGH_d
c1ccc2c(c1)[nH]c1c2c2ccc3c4c2c2c1c1[nH]c5c(c1c1c2c2c4c(c4c3c3ccccc3[nH]4)c3c(c2c2c1cccc2)c1c([nH]3)cccc1)cccc5,-5.314930648,-2.088202836,0.49,VEK_d
c1ccc2c(c1)c1c3ccccc3c3c4c1c1c2ccc2c1c1c4c(cc3)c3c(c1c1c2cccc1)cccc3,-5.674393242,-2.1497006,0.83,UZB_d
Clc1cc2c(c(c1Cl)Cl)c1ccc3c4c1c1c2c2cc(Cl)c(c(c2c2c1c1c4c(c4c3c(Cl)c(Cl)c(c4)Cl)c3c(c1cc2)c(Cl)c(c(c3)Cl)Cl)Cl)Cl,-6.047189422,-2.726854394,1.2,ZOE_d
c1cc2c(s1)c1c3c4c2c2ccccc2c2c4c4c5c3c(c3c1scc3)c1ccccc1c5c1c(c4c3c2ccs3)scc1,-5.656977946,-2.044120368,,UKI_h
Fc1c(F)c(F)c2c(c1F)c1c3c4c2c2c(c5c4c4c6c3c(c3c1c1ccccc1s3)c1sc3c(c1c6c1c(c4c4c5sc5c4cccc5)c(F)c(c(c1F)F)F)cccc3)sc1c2cccc1,-5.741061172,-2.5306602,0.91,ZEU
c1ccc2c(c1)oc1c2c2ccc3c4c2c2c1c1oc5c(c1c1c2c2c4c(c4c3c3ccccc3o4)c3c(c2c2c1cccc2)c1c(o3)cccc1)cccc5,-5.722013192,-2.301812326,0.88,RVO_d
c1ccc2c(c1)c1c3c4c2c2ncccc2c2c4c4c5c3c(c3c1nccc3)c1cccnc1c5c1c(c4c3c2cccn3)cccc1,-6.052359588,-2.335010234,-4.41,XQL_h
Fc1cc2c(c(c1F)F)c1ccc3c4c1c1c2c2cc(F)c(c(c2c2c1c1c4c(c4c3c(F)c(F)c(c4)F)c3c(c1cc2)c(F)c(c(c3)F)F)F)F,-6.028413556,-2.600321384,,MHS_d
Fc1c(F)cc2c(c1F)C1c3ccccc3C3C4=C5C6C7=C(C2c2cc(F)c(c(c2C7c2ccccc2C6c2c(C5c5c3c(F)c(c(c5)F)F)cc(c(c2F)F)F)F)F)C14,-6.173450318,-2.51977564,,MQP_12F
