Key,Smiles,Exp_HOMO,Exp_LUMO,Calc_HOMO,Calc_LUMO,,,,,,,,
M6a,CN1C(C2=C3C(C4=CC=C3C1=O)=C(C=C2)C(C4=N5)=NC(C5=C6C7=CC=C(C8=C9C(N=C(C%10=C%11C%12=CC=C%13C%11=C(C(N(C)C%13=O)=O)C=C%10)C%12=N9)=C(C%14=CC=CC=C%14)C(C8=N%15)=NC%16=C%15C%17=CC=C(C(N(C)C%18=O)=O)C%19=C%18C=CC%16=C%17%19)S7)=C(C%20=CC=CC=C%20)C(C6=N%21)=NC%22=C%21C%23=CC=C(C(N(C)C%24=O)=O)C%25=C%24C=CC%22=C%23%25)=O,-0.21314909411635,-0.139649406490022,-0.2057,-0.1350,,,,,,,,
M8,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC7=C(C=C6C5(C8=CC=C(C)C=C8)C9=CC=C(C)C=C9)C%10=C(C(SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C%13)=C%13S%10)C7(C%14=CC=C(C)C=C%14)C%15=CC=C(C)C=C%15,-0.201389144096138,-0.140751901804417,-0.2083,-0.1330,,,,,,,,
M9,CN1C(C(C=C2)=C3C4=C2C5=C(C4=CC=C3C1=O)C6=C(C7=CC=C8C9=C(C(N(C)C8=O)=O)C=CC6=C79)C%10=C5C%11=C%12C%10=CC=C(C(N(C)C%13=O)=O)C%12=C%13C=C%11)=O,-0.213516592554482,-0.132666936165521,-0.2402,-0.1350,,,,,,,,
M11,COC1=CC(C2=C/3C=CC(OC)=C2)=C(C=C1)C3=C4C5=C(C=C(C=CC=C6)C6=C5)C7=C/4C=C(C=CC=C8)C8=C7,-0.190364190952188,-0.119069493954651,-0.1849,-0.0969,,,,,,,,
M12,O=C(C1=C2C(C3=CC(NC)=C24)=C(C(N(CC5=CC=CS5)C3=O)=O)C(NC)=C1)N(CC6=CC=CS6)C4=O,-0.209106611296902,-0.136341920546838,-0.1991,-0.1134,,,,,,,,
M13,O=C(C1=C2C(C3=CC(C4=CC=C(C)S4)=C25)=C(C(N(C)C3=O)=O)C(C6=CC=C(C)S6)=C1)N(C)C5=O,-0.203226636286796,-0.148836867443313,-0.2167,-0.1270,,,,,,,,
M14,O=C(C1=C2C(C3=C(OC)C=C24)=C(C(N(C)C3=O)=O)C=C1C5=CC=C(C6=CC7=C8C(C9=CC(OC)=C8C(N(C)C7=O)=O)=C6C(N(C)C9=O)=O)S5)N(C)C4=O,-0.216089081621403,-0.139649406490022,-0.2224,-0.1318,,,,,,,,
M15,O=C(C1=C2C(C3=C(OC)C=C24)=C(C(N(C)C3=O)=O)C=C1C5=CC6=C(C7=CC=C(C)S7)C8=C(C=C(C9=CC%10=C%11C(C%12=CC(OC)=C%11C(N(C)C%10=O)=O)=C9C(N(C)C%12=O)=O)S8)C(C%13=CC=C(C)S%13)=C6S5)N(C)C4=O,-0.200654147219874,-0.138914409613759,-0.1931,-0.1292,,,,,,,,
M16,O=C(C1=C2C(C3=CC=C24)=C(C(N(C)C3=O)=O)C(/C=C/C5=CC6=C7C(C8=CC=C7C(N(C)C6=O)=O)=C5C(N(C)C8=O)=O)=C1)N(C)C4=O,-0.247693947300724,-0.159861820587263,-0.2472,-0.1445,,,,,,,,
M30,O=C(/C(C(N1C)=O)=C\C2=CC=C(C3=CC=C(/C=C4C(N(C)C(N(C)C/4=O)=O)=O)S3)S2)N(C)C1=O,-0.230789019146669,-0.155451839329683,-0.2270,-0.1170,,,,,,,,
